-100 -100 0
-100 -95 5
-100 -90 10
-100 -85 15
-100 -80 20
-100 -75 25
-100 -70 30
-100 -65 35
-100 -60 40
-100 -55 45
-100 -50 50
-100 -45 55
-100 -40 60
-100 -35 65
-100 -30 70
-100 -25 75
-100 -20 80
-100 -15 85
-100 -10 90
-100  -5 95
-100   0 100
-100   5 106
-100  10 113
-100  15 120
-100  20 126
-100  25 133
-100  30 140
-100  35 146
-100  40 153
-100  45 160
-100  50 166
-100  55 173
-100  60 180
-100  65 186
-100  70 193
-100  75 200
-100  80 206
-100  85 213
-100  90 220
-100  95 226
-100 100 233
-95 -100 0
-95 -95 0
-95 -90 5
-95 -85 10
-95 -80 15
-95 -75 20
-95 -70 25
-95 -65 30
-95 -60 35
-95 -55 40
-95 -50 45
-95 -45 50
-95 -40 55
-95 -35 60
-95 -30 65
-95 -25 70
-95 -20 75
-95 -15 80
-95 -10 85
-95  -5 90
-95   0 95
-95   5 101
-95  10 108
-95  15 115
-95  20 121
-95  25 128
-95  30 135
-95  35 141
-95  40 148
-95  45 155
-95  50 161
-95  55 168
-95  60 175
-95  65 181
-95  70 188
-95  75 195
-95  80 201
-95  85 208
-95  90 215
-95  95 221
-95 100 228
-90 -100 0
-90 -95 0
-90 -90 0
-90 -85 5
-90 -80 10
-90 -75 15
-90 -70 20
-90 -65 25
-90 -60 30
-90 -55 35
-90 -50 40
-90 -45 45
-90 -40 50
-90 -35 55
-90 -30 60
-90 -25 65
-90 -20 70
-90 -15 75
-90 -10 80
-90  -5 85
-90   0 90
-90   5 96
-90  10 103
-90  15 110
-90  20 116
-90  25 123
-90  30 130
-90  35 136
-90  40 143
-90  45 150
-90  50 156
-90  55 163
-90  60 170
-90  65 176
-90  70 183
-90  75 190
-90  80 196
-90  85 203
-90  90 210
-90  95 216
-90 100 223
-85 -100 0
-85 -95 0
-85 -90 0
-85 -85 0
-85 -80 5
-85 -75 10
-85 -70 15
-85 -65 20
-85 -60 25
-85 -55 30
-85 -50 35
-85 -45 40
-85 -40 45
-85 -35 50
-85 -30 55
-85 -25 60
-85 -20 65
-85 -15 70
-85 -10 75
-85  -5 80
-85   0 85
-85   5 91
-85  10 98
-85  15 105
-85  20 111
-85  25 118
-85  30 125
-85  35 131
-85  40 138
-85  45 145
-85  50 151
-85  55 158
-85  60 165
-85  65 171
-85  70 178
-85  75 185
-85  80 191
-85  85 198
-85  90 205
-85  95 211
-85 100 218
-80 -100 0
-80 -95 0
-80 -90 0
-80 -85 0
-80 -80 0
-80 -75 5
-80 -70 10
-80 -65 15
-80 -60 20
-80 -55 25
-80 -50 30
-80 -45 35
-80 -40 40
-80 -35 45
-80 -30 50
-80 -25 55
-80 -20 60
-80 -15 65
-80 -10 70
-80  -5 75
-80   0 80
-80   5 86
-80  10 93
-80  15 100
-80  20 106
-80  25 113
-80  30 120
-80  35 126
-80  40 133
-80  45 140
-80  50 146
-80  55 153
-80  60 160
-80  65 166
-80  70 173
-80  75 180
-80  80 186
-80  85 193
-80  90 200
-80  95 206
-80 100 213
-75 -100 0
-75 -95 0
-75 -90 0
-75 -85 0
-75 -80 0
-75 -75 0
-75 -70 5
-75 -65 10
-75 -60 15
-75 -55 20
-75 -50 25
-75 -45 30
-75 -40 35
-75 -35 40
-75 -30 45
-75 -25 50
-75 -20 55
-75 -15 60
-75 -10 65
-75  -5 70
-75   0 75
-75   5 81
-75  10 88
-75  15 95
-75  20 101
-75  25 108
-75  30 115
-75  35 121
-75  40 128
-75  45 135
-75  50 141
-75  55 148
-75  60 155
-75  65 161
-75  70 168
-75  75 175
-75  80 181
-75  85 188
-75  90 195
-75  95 201
-75 100 208
-70 -100 0
-70 -95 0
-70 -90 0
-70 -85 0
-70 -80 0
-70 -75 0
-70 -70 0
-70 -65 5
-70 -60 10
-70 -55 15
-70 -50 20
-70 -45 25
-70 -40 30
-70 -35 35
-70 -30 40
-70 -25 45
-70 -20 50
-70 -15 55
-70 -10 60
-70  -5 65
-70   0 70
-70   5 76
-70  10 83
-70  15 90
-70  20 96
-70  25 103
-70  30 110
-70  35 116
-70  40 123
-70  45 130
-70  50 136
-70  55 143
-70  60 150
-70  65 156
-70  70 163
-70  75 170
-70  80 176
-70  85 183
-70  90 190
-70  95 196
-70 100 203
-65 -100 0
-65 -95 0
-65 -90 0
-65 -85 0
-65 -80 0
-65 -75 0
-65 -70 0
-65 -65 0
-65 -60 5
-65 -55 10
-65 -50 15
-65 -45 20
-65 -40 25
-65 -35 30
-65 -30 35
-65 -25 40
-65 -20 45
-65 -15 50
-65 -10 55
-65  -5 60
-65   0 65
-65   5 71
-65  10 78
-65  15 85
-65  20 91
-65  25 98
-65  30 105
-65  35 111
-65  40 118
-65  45 125
-65  50 131
-65  55 138
-65  60 145
-65  65 151
-65  70 158
-65  75 165
-65  80 171
-65  85 178
-65  90 185
-65  95 191
-65 100 198
-60 -100 0
-60 -95 0
-60 -90 0
-60 -85 0
-60 -80 0
-60 -75 0
-60 -70 0
-60 -65 0
-60 -60 0
-60 -55 5
-60 -50 10
-60 -45 15
-60 -40 20
-60 -35 25
-60 -30 30
-60 -25 35
-60 -20 40
-60 -15 45
-60 -10 50
-60  -5 55
-60   0 60
-60   5 66
-60  10 73
-60  15 80
-60  20 86
-60  25 93
-60  30 100
-60  35 106
-60  40 113
-60  45 120
-60  50 126
-60  55 133
-60  60 140
-60  65 146
-60  70 153
-60  75 160
-60  80 166
-60  85 173
-60  90 180
-60  95 186
-60 100 193
-55 -100 0
-55 -95 0
-55 -90 0
-55 -85 0
-55 -80 0
-55 -75 0
-55 -70 0
-55 -65 0
-55 -60 0
-55 -55 0
-55 -50 5
-55 -45 10
-55 -40 15
-55 -35 20
-55 -30 25
-55 -25 30
-55 -20 35
-55 -15 40
-55 -10 45
-55  -5 50
-55   0 55
-55   5 61
-55  10 68
-55  15 75
-55  20 81
-55  25 88
-55  30 95
-55  35 101
-55  40 108
-55  45 115
-55  50 121
-55  55 128
-55  60 135
-55  65 141
-55  70 148
-55  75 155
-55  80 161
-55  85 168
-55  90 175
-55  95 181
-55 100 188
-50 -100 0
-50 -95 0
-50 -90 0
-50 -85 0
-50 -80 0
-50 -75 0
-50 -70 0
-50 -65 0
-50 -60 0
-50 -55 0
-50 -50 0
-50 -45 5
-50 -40 10
-50 -35 15
-50 -30 20
-50 -25 25
-50 -20 30
-50 -15 35
-50 -10 40
-50  -5 45
-50   0 50
-50   5 56
-50  10 63
-50  15 70
-50  20 76
-50  25 83
-50  30 90
-50  35 96
-50  40 103
-50  45 110
-50  50 116
-50  55 123
-50  60 130
-50  65 136
-50  70 143
-50  75 150
-50  80 156
-50  85 163
-50  90 170
-50  95 176
-50 100 183
-45 -100 0
-45 -95 0
-45 -90 0
-45 -85 0
-45 -80 0
-45 -75 0
-45 -70 0
-45 -65 0
-45 -60 0
-45 -55 0
-45 -50 0
-45 -45 0
-45 -40 5
-45 -35 10
-45 -30 15
-45 -25 20
-45 -20 25
-45 -15 30
-45 -10 35
-45  -5 40
-45   0 45
-45   5 51
-45  10 58
-45  15 65
-45  20 71
-45  25 78
-45  30 85
-45  35 91
-45  40 98
-45  45 105
-45  50 111
-45  55 118
-45  60 125
-45  65 131
-45  70 138
-45  75 145
-45  80 151
-45  85 158
-45  90 165
-45  95 171
-45 100 178
-40 -100 0
-40 -95 0
-40 -90 0
-40 -85 0
-40 -80 0
-40 -75 0
-40 -70 0
-40 -65 0
-40 -60 0
-40 -55 0
-40 -50 0
-40 -45 0
-40 -40 0
-40 -35 5
-40 -30 10
-40 -25 15
-40 -20 20
-40 -15 25
-40 -10 30
-40  -5 35
-40   0 40
-40   5 46
-40  10 53
-40  15 60
-40  20 66
-40  25 73
-40  30 80
-40  35 86
-40  40 93
-40  45 100
-40  50 106
-40  55 113
-40  60 120
-40  65 126
-40  70 133
-40  75 140
-40  80 146
-40  85 153
-40  90 160
-40  95 166
-40 100 173
-35 -100 0
-35 -95 0
-35 -90 0
-35 -85 0
-35 -80 0
-35 -75 0
-35 -70 0
-35 -65 0
-35 -60 0
-35 -55 0
-35 -50 0
-35 -45 0
-35 -40 0
-35 -35 0
-35 -30 5
-35 -25 10
-35 -20 15
-35 -15 20
-35 -10 25
-35  -5 30
-35   0 35
-35   5 41
-35  10 48
-35  15 55
-35  20 61
-35  25 68
-35  30 75
-35  35 81
-35  40 88
-35  45 95
-35  50 101
-35  55 108
-35  60 115
-35  65 121
-35  70 128
-35  75 135
-35  80 141
-35  85 148
-35  90 155
-35  95 161
-35 100 168
-30 -100 0
-30 -95 0
-30 -90 0
-30 -85 0
-30 -80 0
-30 -75 0
-30 -70 0
-30 -65 0
-30 -60 0
-30 -55 0
-30 -50 0
-30 -45 0
-30 -40 0
-30 -35 0
-30 -30 0
-30 -25 5
-30 -20 10
-30 -15 15
-30 -10 20
-30  -5 25
-30   0 30
-30   5 36
-30  10 43
-30  15 50
-30  20 56
-30  25 63
-30  30 70
-30  35 76
-30  40 83
-30  45 90
-30  50 96
-30  55 103
-30  60 110
-30  65 116
-30  70 123
-30  75 130
-30  80 136
-30  85 143
-30  90 150
-30  95 156
-30 100 163
-25 -100 0
-25 -95 0
-25 -90 0
-25 -85 0
-25 -80 0
-25 -75 0
-25 -70 0
-25 -65 0
-25 -60 0
-25 -55 0
-25 -50 0
-25 -45 0
-25 -40 0
-25 -35 0
-25 -30 0
-25 -25 0
-25 -20 5
-25 -15 10
-25 -10 15
-25  -5 20
-25   0 25
-25   5 31
-25  10 38
-25  15 45
-25  20 51
-25  25 58
-25  30 65
-25  35 71
-25  40 78
-25  45 85
-25  50 91
-25  55 98
-25  60 105
-25  65 111
-25  70 118
-25  75 125
-25  80 131
-25  85 138
-25  90 145
-25  95 151
-25 100 158
-20 -100 0
-20 -95 0
-20 -90 0
-20 -85 0
-20 -80 0
-20 -75 0
-20 -70 0
-20 -65 0
-20 -60 0
-20 -55 0
-20 -50 0
-20 -45 0
-20 -40 0
-20 -35 0
-20 -30 0
-20 -25 0
-20 -20 0
-20 -15 5
-20 -10 10
-20  -5 15
-20   0 20
-20   5 26
-20  10 33
-20  15 40
-20  20 46
-20  25 53
-20  30 60
-20  35 66
-20  40 73
-20  45 80
-20  50 86
-20  55 93
-20  60 100
-20  65 106
-20  70 113
-20  75 120
-20  80 126
-20  85 133
-20  90 140
-20  95 146
-20 100 153
-15 -100 0
-15 -95 0
-15 -90 0
-15 -85 0
-15 -80 0
-15 -75 0
-15 -70 0
-15 -65 0
-15 -60 0
-15 -55 0
-15 -50 0
-15 -45 0
-15 -40 0
-15 -35 0
-15 -30 0
-15 -25 0
-15 -20 0
-15 -15 0
-15 -10 5
-15  -5 10
-15   0 15
-15   5 21
-15  10 28
-15  15 35
-15  20 41
-15  25 48
-15  30 55
-15  35 61
-15  40 68
-15  45 75
-15  50 81
-15  55 88
-15  60 95
-15  65 101
-15  70 108
-15  75 115
-15  80 121
-15  85 128
-15  90 135
-15  95 141
-15 100 148
-10 -100 0
-10 -95 0
-10 -90 0
-10 -85 0
-10 -80 0
-10 -75 0
-10 -70 0
-10 -65 0
-10 -60 0
-10 -55 0
-10 -50 0
-10 -45 0
-10 -40 0
-10 -35 0
-10 -30 0
-10 -25 0
-10 -20 0
-10 -15 0
